Error No. (DEC),Error No. (HEX),Description
1234,0x000004D2,No service is operating at the destination network endpoint on the remote system.
1235,0x000004D3,The request was aborted.
1236,0x000004D4,The network connection was aborted by the local system.
1237,0x000004D5,The operation could not be completed. A retry should be performed.
1238,0x000004D6,A connection to the server could not be made because the limit on the number of concurrent connections for this account has been reached.
1239,0x000004D7,Attempting to log in during an unauthorized time of day for this account.
1240,0x000004D8,The account is not authorized to log in from this station.
1241,0x000004D9,The network address could not be used for the operation requested.
1242,0x000004DA,The service is already registered.
1243,0x000004DB,The specified service does not exist.
1244,0x000004DC,The operation being requested was not performed because the user has not been authenticated.
1245,0x000004DD,"The operation being requested was not performed because the user has not logged on to the network.
The specified service does not exist."
1246,0x000004DE,Continue with work in progress.
1247,0x000004DF,An attempt was made to perform an initialization operation when initialization has already been completed.
1248,0x000004E0,No more local devices.
1249,0x000004E1,The specified site does not exist.
1250,0x000004E2,A domain controller with the specified name already exists.
1251,0x000004E3,This operation is supported only when you are connected to the server.
1252,0x000004E4,The group policy framework should call the extension even if there are no changes.
1253,0x000004E5,The specified user does not have a valid profile.
1254,0x000004E6,This operation is not supported on a Microsoft Small Business Server
1255,0x000004E7,The server machine is shutting down.
1256,0x000004E8,"The remote system is not available. For information about network troubleshooting, see Windows Help."
1257,0x000004E9,The security identifier provided is not from an account domain.
1258,0x000004EA,The security identifier provided does not have a domain component.
1259,0x000004EB,AppHelp dialog canceled thus preventing the application from starting.
1260,0x000004EC,"Windows cannot open this program because it has been prevented by a software restriction policy. For more information, open Event Viewer or contact your system administrator."
1261,0x000004ED,A program attempt to use an invalid register value.  Normally caused by an uninitialized register. This error is Itanium specific.
1262,0x000004EE,The share is currently offline or does not exist.
1263,0x000004EF,"The kerberos protocol encountered an error while validating the
KDC certificate during smartcard logon."
1264,0x000004F0,"The kerberos protocol encountered an error while attempting to utilize
the smartcard subsystem."
1265,0x000004F1,The system detected a possible attempt to compromise security. Please ensure that you can contact the server that authenticated you.
1266,0x000004F2,"The smartcard certificate used for authentication has been revoked. 
Please contact your system administrator.  There may be additional information in the 
event log."
1267,0x000004F3,"An untrusted certificate authority was detected While processing the 
smartcard certificate used for authentication.  Please contact your system 
administrator."
1268,0x000004F4,"The revocation status of the smartcard certificate used for 
authentication could not be determined. Please contact your system administrator."
1269,0x000004F5,"The smartcard certificate used for authentication was not trusted.  Please 
contact your system administrator."
1270,0x000004F6,"The smartcard certificate used for authentication has expired.  Please 
contact your system administrator."
1271,0x000004F7,The machine is locked and can not be shut down without the force option.
1273,0x000004F9,An application-defined callback gave invalid data when called.
1274,0x000004FA,The group policy framework should call the extension in the synchronous foreground policy refresh.
1275,0x000004FB,This driver has been blocked from loading
1276,0x000004FC,A dynamic link library (DLL) referenced a module that was neither a DLL nor the process's executable image.
1277,0x000004FD,
1278,0x000004FE,
1279,0x000004FF,
1280,0x00000500,
1281,0x00000501,
1282,0x00000502,
1283,0x00000503,
1284,0x00000504,
1285,0x00000505,
1286,0x00000506,
1300,0x00000514,Not all privileges referenced are assigned to the caller.
1301,0x00000515,Some mapping between account names and security IDs was not done.
1302,0x00000516,No system quota limits are specifically set for this account.
1303,0x00000517,No encryption key is available. A well-known encryption key was returned.
1304,0x00000518,The password is too complex to be converted to a LAN Manager password. The LAN Manager password returned is a NULL string.
1305,0x00000519,The revision level is unknown.
1306,0x0000051A,Indicates two revision levels are incompatible.
1307,0x0000051B,This security ID may not be assigned as the owner of this object.
1308,0x0000051C,This security ID may not be assigned as the primary group of an object.
1309,0x0000051D,An attempt has been made to operate on an impersonation token by a thread that is not currently impersonating a client.
1310,0x0000051E,The group may not be disabled.
1311,0x0000051F,There are currently no logon servers available to service the logon request.
1312,0x00000520,A specified logon session does not exist. It may already have been terminated.
1313,0x00000521,A specified privilege does not exist.
1314,0x00000522,A required privilege is not held by the client.
