Error No. (DEC),Error No. (HEX),Description
1397,0x00000575,Mutual Authentication failed. The server's password is out of date at the domain controller.
1398,0x00000576,There is a time and/or date difference between the client and server.
1399,0x00000577,This operation can not be performed on the current domain.
1400,0x00000578,Invalid window handle.
1401,0x00000579,Invalid menu handle.
1402,0x0000057A,Invalid cursor handle.
1403,0x0000057B,Invalid accelerator table handle.
1404,0x0000057C,Invalid hook handle.
1405,0x0000057D,Invalid handle to a multiple-window position structure.
1406,0x0000057E,Cannot create a top-level child window.
1407,0x0000057F,Cannot find window class.
1408,0x00000580,Invalid window; it belongs to other thread.
1409,0x00000581,Hot key is already registered.
1410,0x00000582,Class already exists.
1411,0x00000583,Class does not exist.
1412,0x00000584,Class still has open windows.
1413,0x00000585,Invalid index.
1414,0x00000586,Invalid icon handle.
1415,0x00000587,Using private DIALOG window words.
1416,0x00000588,The list box identifier was not found.
1417,0x00000589,No wildcards were found.
1418,0x0000058A,Thread does not have a clipboard open.
1419,0x0000058B,Hot key is not registered.
1420,0x0000058C,The window is not a valid dialog window.
1421,0x0000058D,Control ID not found.
1422,0x0000058E,Invalid message for a combo box because it does not have an edit control.
1423,0x0000058F,The window is not a combo box.
1424,0x00000590,Height must be less than 256.
1425,0x00000591,Invalid device context (DC) handle.
1426,0x00000592,Invalid hook procedure type.
1427,0x00000593,Invalid hook procedure.
1428,0x00000594,Cannot set nonlocal hook without a module handle.
1429,0x00000595,This hook procedure can only be set globally.
1430,0x00000596,The journal hook procedure is already installed.
1431,0x00000597,The hook procedure is not installed.
1432,0x00000598,Invalid message for single-selection list box.
1433,0x00000599,LB_SETCOUNT sent to non-lazy list box.
1434,0x0000059A,This list box does not support tab stops.
1435,0x0000059B,Cannot destroy object created by another thread.
1436,0x0000059C,Child windows cannot have menus.
1437,0x0000059D,The window does not have a system menu.
1438,0x0000059E,Invalid message box style.
1439,0x0000059F,Invalid system-wide (SPI_*) parameter.
1440,0x000005A0,Screen already locked.
1441,0x000005A1,All handles to windows in a multiple-window position structure must have the same parent.
1442,0x000005A2,The window is not a child window.
1443,0x000005A3,Invalid GW_* command.
1444,0x000005A4,Invalid thread identifier.
1445,0x000005A5,Cannot process a message from a window that is not a multiple document interface (MDI) window.
1446,0x000005A6,Popup menu already active.
1447,0x000005A7,The window does not have scroll bars.
1448,0x000005A8,Scroll bar range cannot be greater than MAXLONG.
1449,0x000005A9,Cannot show or remove the window in the way specified.
1450,0x000005AA,Insufficient system resources exist to complete the requested service.
1451,0x000005AB,Insufficient system resources exist to complete the requested service.
1452,0x000005AC,Insufficient system resources exist to complete the requested service.
1453,0x000005AD,Insufficient quota to complete the requested service.
1454,0x000005AE,Insufficient quota to complete the requested service.
1455,0x000005AF,The paging file is too small for this operation to complete.
1456,0x000005B0,A menu item was not found.
1457,0x000005B1,Invalid keyboard layout handle.
1458,0x000005B2,Hook type not allowed.
1459,0x000005B3,This operation requires an interactive window station.
1460,0x000005B4,This operation returned because the timeout period expired.
1461,0x000005B5,Invalid monitor handle.
1500,0x000005DC,The event log file is corrupted.
1501,0x000005DD,"No event log file could be opened, so the event logging service did not start."
1502,0x000005DE,The event log file is full.
1503,0x000005DF,The event log file has changed between read operations.
1601,0x00000641,"The Windows Installer Service could not be accessed. This can occur if you are running Windows in safe mode, or if the Windows Installer is not correctly installed. Contact your support personnel for assistance."
1602,0x00000642,User cancelled installation.
1603,0x00000643,Fatal error during installation.
1604,0x00000644,"Installation suspended, incomplete."
1605,0x00000645,This action is only valid for products that are currently installed.
1606,0x00000646,Feature ID not registered.
1607,0x00000647,Component ID not registered.
1608,0x00000648,Unknown property.
1609,0x00000649,Handle is in an invalid state.
1610,0x0000064A,The configuration data for this product is corrupt.  Contact your support personnel.
1611,0x0000064B,Component qualifier not present.
1612,0x0000064C,The installation source for this product is not available.  Verify that the source exists and that you can access it.
1613,0x0000064D,This installation package cannot be installed by the Windows Installer service.  You must install a Windows service pack that contains a newer version of the Windows Installer service.
1614,0x0000064E,Product is uninstalled.
1615,0x0000064F,SQL query syntax invalid or unsupported.
1616,0x00000650,Record field does not exist.
1617,0x00000651,The device has been removed.
1618,0x00000652,Another installation is already in progress.  Complete that installation before proceeding with this install.
1619,0x00000653,"This installation package could not be opened.  Verify that the package exists and that you can access it, or contact the application vendor to verify that this is a valid Windows Installer package."
1620,0x00000654,This installation package could not be opened.  Contact the application vendor to verify that this is a valid Windows Installer package.
